date,mood,productivity,good,workout
29/12/2023,42,68,15,79
1/1/2024,73,50,89,12
2/1/2024,55,32,75,81
3/1/2024,89,78,43,64
4/1/2024,27,69,57,37
5/1/2024,68,46,83,29
6/1/2024,37,29,49,69
7/1/2024,81,15,25,93
8/1/2024,46,32,11,85
9/1/2024,64,48,70,42
10/1/2024,33,67,28,18
11/1/2024,54,84,49,76
12/1/2024,70,53,56,21
13/1/2024,93,41,89,15
14/1/2024,59,22,71,56
15/1/2024,27,79,47,36
16/1/2024,75,13,32,99
17/1/2024,44,69,19,81
18/1/2024,82,86,38,65
19/1/2024,13,95,57,92
20/1/2024,68,53,76,48
21/1/2024,37,37,96,68
22/1/2024,94,22,57,44
23/1/2024,51,81,82,24
24/1/2024,18,49,33,58
25/1/2024,92,37,23,75
26/1/2024,39,80,66,98
27/1/2024,67,59,46,32
28/1/2024,29,45,78,21
29/1/2024,86,33,89,49
30/1/2024,54,77,24,66
31/1/2024,75,15,59,98
1/2/2024,21,42,11,83
2/2/2024,63,60,74,19
3/2/2024,99,17,51,91
4/2/2024,47,88,22,67
5/2/2024,89,24,46,32
6/2/2024,34,62,66,75
7/2/2024,71,11,39,90
8/2/2024,43,33,17,71
9/2/2024,68,75,57,26
10/2/2024,15,52,11,87
11/2/2024,59,82,38,14
12/2/2024,79,49,63,37
13/2/2024,28,18,89,56
14/2/2024,96,72,42,65
15/2/2024,51,29,54,47
16/2/2024,23,46,25,84
17/2/2024,84,61,36,19
18/2/2024,42,78,68,57
19/2/2024,72,25,41,86
20/2/2024,35,52,72,29
21/2/2024,87,10,17,98
22/2/2024,53,37,92,69
23/2/2024,19,68,52,45
24/2/2024,95,54,28,63
25/2/2024,66,26,19,89
26/2/2024,31,64,73,14
27/2/2024,78,48,89,38
28/2/2024,49,15,61,71
1/3/2024,93,39,43,56
2/3/2024,57,70,76,28
3/3/2024,20,24,51,95
4/3/2024,84,80,62,17
5/3/2024,41,20,35,73
6/3/2024,71,62,57,26
7/3/2024,14,88,91,79
8/3/2024,65,37,28,92
9/3/2024,30,71,48,62
10/3/2024,86,46,69,25
11/3/2024,52,16,57,84
12/3/2024,78,59,85,37
13/3/2024,25,37,68,51
14/3/2024,94,69,43,72
15/3/2024,56,30,57,88
16/3/2024,23,59,23,45
17/3/2024,80,84,41,69
18/3/2024,48,21,73,31
19/3/2024,71,65,14,98
20/3/2024,17,41,62,79
21/3/2024,63,75,47,24
22/3/2024,88,33,89,57
23/3/2024,34,54,35,66
24/3/2024,79,26,76,49
25/3/2024,40,61,19,87
26/3/2024,68,15,51,92
27/3/2024,11,45,71,38
28/3/2024,87,82,46,61
29/3/2024,53,27,59,86
30/3/2024,29,69,14,45
31/3/2024,91,53,73,62
1/4/2024,44,32,67,20
2/4/2024,74,77,38,98
3/4/2024,18,46,56,73
4/4/2024,66,23,87,29
5/4/2024,35,60,49,69
6/4/2024,82,38,71,18
7/4/2024,50,19,36,92
