date,mood,productivity,good,workout
29/12/2023,1,2,3,4
1/1/2024,5,3,1,8
2/1/2024,4,4,2,7
3/1/2024,3,5,3,6
4/1/2024,2,4,4,5
5/1/2024,3,3,5,4
6/1/2024,4,2,4,6
7/1/2024,5,1,3,8
8/1/2024,4,2,2,7
9/1/2024,3,3,1,6
10/1/2024,2,4,2,5
11/1/2024,3,5,3,4
12/1/2024,4,4,4,6
13/1/2024,5,3,5,8
14/1/2024,4,2,4,7
15/1/2024,3,1,3,6
16/1/2024,2,2,2,5
17/1/2024,3,3,1,4
18/1/2024,4,4,2,6
19/1/2024,5,5,3,8
20/1/2024,4,4,4,7
21/1/2024,3,3,5,6
22/1/2024,2,2,4,5
23/1/2024,3,1,3,4
24/1/2024,4,2,2,6
25/1/2024,5,3,1,8
26/1/2024,4,4,2,7
27/1/2024,3,5,3,6
28/1/2024,2,4,4,5
29/1/2024,3,3,5,4
30/1/2024,4,2,4,6
31/1/2024,5,1,3,8
1/2/2024,4,2,2,7
2/2/2024,3,3,1,6
3/2/2024,2,4,2,5
4/2/2024,3,5,3,4
5/2/2024,4,4,4,6
6/2/2024,5,3,5,8
7/2/2024,4,2,4,7
8/2/2024,3,1,3,6
9/2/2024,2,2,2,5
10/2/2024,3,3,1,4
11/2/2024,4,4,2,6
12/2/2024,5,5,3,8
13/2/2024,4,4,4,7
14/2/2024,3,3,5,6
15/2/2024,2,2,4,5
16/2/2024,3,1,3,4
17/2/2024,4,2,2,6
18/2/2024,5,3,1,8
19/2/2024,4,4,2,7
20/2/2024,3,5,3,6
21/2/2024,2,4,4,5
22/2/2024,3,3,5,4
23/2/2024,4,2,4,6
24/2/2024,5,1,3,8
25/2/2024,4,2,2,7
26/2/2024,3,3,1,6
27/2/2024,2,4,2,5
28/2/2024,3,5,3,4
1/3/2024,4,4,4,6
2/3/2024,5,3,5,8
3/3/2024,4,2,4,7
4/3/2024,3,1,3,6
5/3/2024,2,2,2,5
6/3/2024,3,3,1,4
7/3/2024,4,4,2,6
8/3/2024,5,5,3,8
9/3/2024,4,4,4,7
10/3/2024,3,3,5,6
11/3/2024,2,2,4,5
12/3/2024,3,1,3,4
13/3/2024,4,2,2,6
14/3/2024,5,3,1,8
15/3/2024,4,4,2,7
16/3/2024,3,5,3,6
17/3/2024,2,4,4,5
18/3/2024,3,3,5,4
19/3/2024,4,2,4,6
20/3/2024,5,1,3,8
21/3/2024,4,2,2,7
22/3/2024,3,3,1,6
23/3/2024,2,4,2,5
24/3/2024,3,5,3,4
25/3/2024,4,4,4,6
26/3/2024,5,3,5,8
27/3/2024,4,2,4,7
28/3/2024,3,1,3,6
29/3/2024,2,2,2,5
30/3/2024,3,3,1,4
31/3/2024,4,4,2,6
1/4/2024,5,5,3,8
2/4/2024,4,4,4,7
3/4/2024,3,3,5,6
4/4/2024,2,2,4,5
5/4/2024,3,1,3,4
6/4/2024,4,2,2,6
7/4/2024,5,3,1,8
8/4/2024,4,4,2,7
9/4/2024,3,5,3,6
